,mm,mu,pm
ACTB_10_mc,51,14,24
ACTB_11_mc,7,8,1
ACTB_1_mc,20,10,1
ACTB_2_mc,17,8,0
ACTB_3_mc,142,70,12
ACTB_5_mc,31,11,34
ACTB_6_mc,57,8,9
ACTB_7_mc,15,4,3
ACTB_8_mc,100,31,11
ACTB_9_mc,85,25,10
ALX4_1_mc,2,13,22
ALX4_2_mc,4,14,0
ALX4_3_mc,1,6,6
ALX4_4_mc,4,12,8
B4GALT1_1_mc,4,17,16
B4GALT1_2_mc,1,1,0
B4GALT1_3_mc,10,0,1
BNC1_1_mc,3,1,12
BNC1_4_mc,0,2,6
BNC1_5_mc,3,1,10
BNC1_6_mc,1,0,2
BNC1_7_mc,1,4,16
CDH13_1_mc,9,3,1
CDH13_2_mc,3,5,6
CDH13_3_mc,0,0,28
CDH1_1_mc,86,19,0
CDH1_2_mc,0,7,2
CDH1_3_mc,8,6,2
CDKN2A_1_mc,4,4,5
CDKN2A_2_mc,1,6,12
CDKN2A_3_mc,3,8,17
CDKN2A_4_mc,0,4,11
CDKN2B_1_mc,0,0,4
CDKN2B_2_mc,3,12,7
CDKN2B_3_mc,0,0,2
CDKN2B_4_mc,0,5,3
CXCL12_1_mc,0,1,8
CXCL12_2_mc,5,7,9
CXCL12_3_mc,0,14,2
DAPK1_1_mc,1,6,17
DAPK1_2_mc,0,1,8
DAPK1_3_mc,2,1,1
ESR1_2_mc,0,5,7
ESR1_3_mc,0,1,0
ESR1_4_mc,0,0,3
ESR1_5_mc,3,2,1
GATA4_1_mc,0,4,3
GATA4_2_mc,5,14,29
GATA4_3_mc,0,0,33
GATA4_4_mc,4,3,10
GATA5_2_mc,1,23,20
GATA5_3_mc,47,9,9
GATA5_4_mc,0,2,5
GATA5_5_mc,0,5,7
GSTP1_1_mc,1,4,0
GSTP1_2_mc,4,19,5
GSTP1_3_mc,0,11,7
HIC1_2_mc,1,10,10
HIC1_3_mc,1,4,13
HIC1_4_mc,4,8,16
HIC1_5_mc,0,1,3
HIC1_6_mc,0,4,61
HIC1_8_mc,1,13,14
MAL_1_mc,0,15,14
MAL_2_mc,0,1,8
MAL_3_mc,1,5,4
MAL_4_mc,1,10,1
MGMT_2_mc,0,1,11
MGMT_3_mc,0,2,8
MGMT_4_mc,18,11,9
MLH1_1_mc,2,3,3
MLH1_2_mc,1,2,1
MLH1_3_mc,1,12,9
MSX1_1_mc,0,5,18
MSX1_2_mc,0,1,2
MSX1_3_mc,0,0,0
NTRK2_1_mc,0,5,17
NTRK2_2_mc,0,0,8
NTRK2_3_mc,0,1,1
NTRK2_4_mc,0,1,3
OSMR_1_mc,1,4,15
OSMR_2_mc,4,9,2
OSMR_3_mc,49,13,0
PAPSS2_1_mc,6,20,72
PAPSS2_2_mc,0,1,7
PYCARD_1_mc,0,1,0
PYCARD_2_mc,6,11,9
PYCARD_3_mc,0,3,10
RASSF1_1_mc,4,8,23
RASSF1_2_mc,1,3,5
RASSF1_3_mc,58,15,6
RASSF1_4_mc,1,4,9
RASSF1_5_mc,1,6,6
RUNX3_4_mc,2,3,36
RUNX3_5_mc,5,9,6
RUNX3_6_mc,10,2,9
RUNX3_7_mc,1,4,2
RUNX3_8_mc,0,1,2
RUNX3_9_mc,2,10,5
SFRP4_1_mc,1,11,16
SFRP4_2_mc,1,2,23
SFRP4_3_mc,0,7,25
TLE1_3_mc,14,17,7
TLE1_4_mc,0,0,5
TLE1_5_mc,5,1,1
TLE1_6_mc,6,15,12
TP73_4_mc,3,0,6
TP73_5_mc,0,0,13
TP73_6_mc,19,3,12
TUBG2_1_mc,2,1,11
